campagna,MedianWeight,MeanWeight,TemperatureC,DOmgL,pH,Year,Monthnumber,Week,Dayofmonth,Hour,SpConducibilitymicroScm,DOoutmgLTARGET,pHout,ConducibilitymicroScm,DOsat,DOlocal,SpConducibilitymicroScmOUT,Tagliag,Biomassakg,quantomangimekg,timestamped,y_test,predicted
1432,3,290.5,290.26315789473693,12.835,14.3,7.92,2020,7,28,12,8,173.3,12.43,7.68,133.3,118.9,118.9,171.6,310.29,11798.0,0.0,2020.0_28.0_12.0_8.0,12.429999,12.549632
4422,3,298.0,298.5257731958762,11.492,13.3,8.41,2020,9,36,3,9,197.6,10.36,7.78,149.3,95.1,95.1,201.2,332.88,9575.0,87.5,2020.0_36.0_3.0_9.0,10.36,10.298782
939,3,381.0,367.6,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,28,7,6,176.33684640522856,10.98,7.55,144.1,111.1,111.1,174.4,310.29,12096.0,0.0,2020.0_28.0_7.0_6.0,10.98,12.422555
3790,3,297.0,293.67391304347825,13.663,12.52,8.21,2020,8,35,25,6,177.3,11.41,7.89,140.9,111.0,111.0,177.9,318.27,9641.0,0.0,2020.0_35.0_25.0_6.0,11.41,11.344565
3859,3,288.0,279.41463414634154,14.89,12.16,8.26,2020,8,35,26,2,177.7,10.55,7.75,145.7,104.9,104.9,179.7,321.37,9633.0,0.0,2020.0_35.0_26.0_2.0,10.55,11.838515
1961,3,258.0,247.42857142857144,15.715,13.8,7.86,2020,7,29,18,0,179.2,11.69,7.63,149.4,119.2,119.2,179.2,310.29,11560.0,0.0,2020.0_29.0_18.0_0.0,11.69,12.985878
4180,3,167.0,173.33333333333334,11.23,13.37,8.37,2020,9,36,1,4,184.3,12.53,8.01,135.1,114.7,114.7,182.5,329.97,9671.0,0.0,2020.0_36.0_1.0_4.0,12.53,12.012748
2539,3,238.0,263.0,15.16,13.34,7.89,2020,7,30,23,5,174.0,11.66,7.63,143.1,117.3,117.3,174.1,310.29,11390.0,0.0,2020.0_30.0_23.0_5.0,11.66,11.96684
3445,3,302.0,312.8571428571429,16.98,10.82,8.02,2020,8,31,2,4,163.7,9.62,7.61,142.4,100.6,100.6,166.3,310.29,10803.0,0.0,2020.0_31.0_2.0_4.0,9.62,9.706864
3704,3,272.0,278.4615384615383,14.592,12.34,8.18,2020,8,35,24,5,170.4,11.11,7.85,137.5,110.1,110.1,170.0,318.27,9734.0,0.0,2020.0_35.0_24.0_5.0,11.11,11.32246
4055,3,304.0,292.43999999999994,15.473,11.56,8.22,2020,8,35,28,4,179.6,9.49,7.72,149.1,95.7,95.7,181.0,327.23,9689.0,0.0,2020.0_35.0_28.0_4.0,9.49,11.951816
675,3,357.0,341.0,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,27,4,3,176.33684640522856,11.74,7.57,138.9,115.3,115.3,173.5,310.29,12242.0,0.0,2020.0_27.0_4.0_3.0,11.74,10.832786
3997,3,299.0,314.05434782608705,14.431,12.33,8.34,2020,8,35,27,9,174.2,10.3,7.77,143.9,101.8,101.8,178.8,324.49,9670.0,87.0,2020.0_35.0_27.0_9.0,10.300001,12.336396
3662,3,238.0,257.8181818181818,16.43,12.4,8.35,2020,8,34,22,10,172.5,11.54,7.84,149.4,118.9,118.9,177.1,318.27,9838.0,0.0,2020.0_34.0_22.0_10.0,11.54,10.397523
2751,3,195.0,194.0,12.754,13.59,7.92,2020,7,30,25,4,164.4,12.2,7.66,124.2,116.3,116.3,160.4,310.29,11088.0,0.0,2020.0_30.0_25.0_4.0,12.2,11.869749
4216,3,334.5,314.4642857142857,10.856,13.61,8.38,2020,9,36,1,8,187.4,12.11,7.95,137.5,109.8,109.8,187.8,329.97,9671.0,0.0,2020.0_36.0_1.0_8.0,12.11,11.460146
4465,3,291.0,294.7708333333333,13.8,11.42,8.28,2020,9,37,7,2,197.3,8.59,7.81,158.6,83.7,83.7,200.0,340.0,9733.0,0.0,2020.0_37.0_7.0_2.0,8.59,10.413271
2980,3,302.0,309.95081967213116,14.725,12.19,8.05,2020,7,31,28,9,178.1,11.13,7.71,142.4,110.9,110.9,175.2,310.29,10962.0,0.0,2020.0_31.0_28.0_9.0,11.13,9.590821
1551,3,292.5,313.7857142857143,14.178,14.24,8.06,2020,7,29,13,9,174.1,12.64,7.71,139.9,124.1,124.1,174.9,310.29,11758.0,0.0,2020.0_29.0_13.0_9.0,12.64,10.643652
1656,3,346.0,379.5454545454545,14.095,14.13,7.94,2020,7,29,14,8,173.8,12.51,7.68,136.9,123.0,123.0,170.9,310.29,11731.0,0.0,2020.0_29.0_14.0_8.0,12.51,11.945799
4547,3,352.0,352.3429844097993,13.001,11.97,8.34,2020,9,37,7,11,195.9,7.98,7.63,153.9,76.0,76.0,198.9,340.0,9733.0,0.0,2020.0_37.0_7.0_11.0,7.98,9.983689
1364,3,345.0,344.04807692307696,14.597,13.66,7.79,2020,7,28,12,0,167.1,11.42,7.61,135.4,113.6,113.6,166.8,310.29,11798.0,0.0,2020.0_28.0_12.0_0.0,11.42,10.871548
2559,3,253.5,260.08333333333337,14.558,13.65,7.94,2020,7,30,23,7,173.8,11.74,7.62,142.4,117.1,117.1,175.1,310.29,11390.0,0.0,2020.0_30.0_23.0_7.0,11.74,10.533643
1131,3,198.5,209.0,14.929,13.87,7.8,2020,7,28,9,4,175.9,11.76,7.56,146.0,118.0,118.0,178.1,310.29,11990.0,0.0,2020.0_28.0_9.0_4.0,11.76,12.489973
3236,3,219.0,253.36363636363637,16.661,11.46,7.99,2020,7,31,31,5,168.8,9.8,7.57,147.1,101.9,101.9,172.9,310.29,10862.0,0.0,2020.0_31.0_31.0_5.0,9.8,10.969166
2279,3,211.0,220.0980392156863,16.814,13.47,7.8,2020,7,30,21,0,181.5,11.46,7.63,155.0,119.9,119.9,180.9,310.29,11432.0,0.0,2020.0_30.0_21.0_0.0,11.459999,10.918589
2346,3,250.0,250.12612612612608,15.234,13.9,7.91,2020,7,30,21,7,180.8,11.95,7.61,148.9,120.7,120.7,180.6,310.29,11432.0,0.0,2020.0_30.0_21.0_7.0,11.949999,10.752666
4333,3,287.0,292.1080139372821,11.929,13.06,8.34,2020,9,36,2,9,196.3,11.24,7.91,148.3,104.7,104.7,196.6,329.97,9637.0,87.5,2020.0_36.0_2.0_9.0,11.239999,10.502827
1953,3,242.0,256.4347826086957,14.598,14.61,8.26,2020,7,29,17,11,175.4,13.81,7.98,141.9,136.2,136.2,176.5,310.29,11602.0,0.0,2020.0_29.0_17.0_11.0,13.81,11.573296
2510,3,241.0,252.38461538461547,15.98,13.17,7.87,2020,7,30,23,1,172.5,11.53,7.63,142.7,117.5,117.5,171.3,310.29,11390.0,0.0,2020.0_30.0_23.0_1.0,11.53,11.3344755
1636,3,358.0,383.3666666666666,14.546,13.72,7.84,2020,7,29,14,6,170.3,11.81,7.61,139.7,117.0,117.0,173.1,310.29,11731.0,0.0,2020.0_29.0_14.0_6.0,11.809999,12.583439
846,3,214.0,214.0,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,28,6,1,176.33684640522856,10.71,7.53,151.6,111.7,111.7,177.4,310.29,12143.0,0.0,2020.0_28.0_6.0_1.0,10.71,11.732372
3165,3,305.0,302.19999999999993,16.452,11.56,8.04,2020,7,31,30,8,172.0,9.85,7.56,147.2,102.0,102.0,173.7,310.29,10865.0,0.0,2020.0_31.0_30.0_8.0,9.85,11.320805
2478,3,279.0,280.9382716049385,14.85,14.22,8.24,2020,7,30,22,10,175.0,13.3,7.85,142.4,131.3,131.3,177.0,310.29,11390.0,0.0,2020.0_30.0_22.0_10.0,13.3,11.492621
1754,3,257.0,263.3870967741936,12.714,14.82,7.99,2020,7,29,15,8,173.4,13.15,7.68,134.6,124.9,124.9,174.6,310.29,11696.0,0.0,2020.0_29.0_15.0_8.0,13.15,11.73848
